ctryname,cowcode2,politycode,un_region_name,un_continent_name,ehead,leaderspellreg,democracy,regime,start_year,duration,observed
Ecuador,130,130.0,South America,Americas,Gustavo Noboa Bejarano,Gustavo Noboa Bejarano.Ecuador.2002.2002.Presidential Dem,Democracy,Presidential Dem,2002,1,1
Ecuador,130,130.0,South America,Americas,Lucio Gutiï¿½rrez,Lucio Gutiï¿½rrez.Ecuador.2003.2004.Presidential Dem,Democracy,Presidential Dem,2003,2,1
Ecuador,130,130.0,South America,Americas,Alfredo Palacio,Alfredo Palacio.Ecuador.2005.2006.Presidential Dem,Democracy,Presidential Dem,2005,2,1
Ecuador,130,130.0,South America,Americas,Rafael Correa,Rafael Correa.Ecuador.2007.2008.Presidential Dem,Democracy,Presidential Dem,2007,2,0
Egypt,651,651.0,Northern Africa,Africa,Faruq I,Faruq I.Egypt.1946.1951.Monarchy,Non-democracy,Monarchy,1946,6,1
Egypt,651,651.0,Northern Africa,Africa,Mohammed Naguib,Mohammed Naguib.Egypt.1952.1953.Military Dict,Non-democracy,Military Dict,1952,2,1
Egypt,651,651.0,Northern Africa,Africa,Gamal Nasser,Gamal Nasser.Egypt.1954.1969.Military Dict,Non-democracy,Military Dict,1954,16,0
Egypt,651,651.0,Northern Africa,Africa,Anwar el-Sadat,Anwar el-Sadat.Egypt.1970.1980.Military Dict,Non-democracy,Military Dict,1970,11,0
Egypt,651,651.0,Northern Africa,Africa,Hosni Mubarak,Hosni Mubarak.Egypt.1981.2008.Military Dict,Non-democracy,Military Dict,1981,28,0
El Salvador,92,92.0,Central America,Americas,Salvador Castaneda Castro,Salvador Castaneda Castro.El Salvador.1946.1947.Military Dict,Non-democracy,Military Dict,1946,2,1
El Salvador,92,92.0,Central America,Americas,Manuel Cordoba,Manuel Cordoba.El Salvador.1948.1948.Military Dict,Non-democracy,Military Dict,1948,1,1
El Salvador,92,92.0,Central America,Americas,Oscar Bolanos,Oscar Bolanos.El Salvador.1949.1949.Military Dict,Non-democracy,Military Dict,1949,1,1
El Salvador,92,92.0,Central America,Americas,Oscar Osorio,Oscar Osorio.El Salvador.1950.1955.Military Dict,Non-democracy,Military Dict,1950,6,1
El Salvador,92,92.0,Central America,Americas,Jose Lemus,Jose Lemus.El Salvador.1956.1959.Military Dict,Non-democracy,Military Dict,1956,4,1
El Salvador,92,92.0,Central America,Americas,Miguel Castillo,Miguel Castillo.El Salvador.1960.1960.Military Dict,Non-democracy,Military Dict,1960,1,1
El Salvador,92,92.0,Central America,Americas,Anibal Portillo,Anibal Portillo.El Salvador.1961.1961.Military Dict,Non-democracy,Military Dict,1961,1,1
El Salvador,92,92.0,Central America,Americas,Julio Rivera Carballo,Julio Rivera Carballo.El Salvador.1962.1966.Military Dict,Non-democracy,Military Dict,1962,5,1
El Salvador,92,92.0,Central America,Americas,Fidel Sanchez Hernandez,Fidel Sanchez Hernandez.El Salvador.1967.1971.Military Dict,Non-democracy,Military Dict,1967,5,1
El Salvador,92,92.0,Central America,Americas,Arturo Molina Barraza,Arturo Molina Barraza.El Salvador.1972.1976.Military Dict,Non-democracy,Military Dict,1972,5,1
El Salvador,92,92.0,Central America,Americas,Carlos Romero Mena,Carlos Romero Mena.El Salvador.1977.1978.Military Dict,Non-democracy,Military Dict,1977,2,1
El Salvador,92,92.0,Central America,Americas,Adolfo Majano + Jaime Gutierrez,Adolfo Majano + Jaime Gutierrez.El Salvador.1979.1979.Military Dict,Non-democracy,Military Dict,1979,1,1
El Salvador,92,92.0,Central America,Americas,Jose Napoleon Duarte,Jose Napoleon Duarte.El Salvador.1980.1981.Civilian Dict,Non-democracy,Civilian Dict,1980,2,1
El Salvador,92,92.0,Central America,Americas,military,military.El Salvador.1982.1983.Military Dict,Non-democracy,Military Dict,1982,2,1
El Salvador,92,92.0,Central America,Americas,Jose Napoleon Duarte,Jose Napoleon Duarte.El Salvador.1984.1988.Presidential Dem,Democracy,Presidential Dem,1984,5,1
El Salvador,92,92.0,Central America,Americas,Alfredo Christiani,Alfredo Christiani.El Salvador.1989.1993.Presidential Dem,Democracy,Presidential Dem,1989,5,1
El Salvador,92,92.0,Central America,Americas,Armando Calderon Sol,Armando Calderon Sol.El Salvador.1994.1998.Presidential Dem,Democracy,Presidential Dem,1994,5,1
El Salvador,92,92.0,Central America,Americas,Francisco Guillermo Flores Perez,Francisco Guillermo Flores Perez.El Salvador.1999.2003.Presidential Dem,Democracy,Presidential Dem,1999,5,1
El Salvador,92,92.0,Central America,Americas,Elï¿½as Antonio Saca Gonzï¿½lez,Elï¿½as Antonio Saca Gonzï¿½lez.El Salvador.2004.2008.Presidential Dem,Democracy,Presidential Dem,2004,5,0
Equatorial Guinea,411,411.0,Middle Africa,Africa,Francisco Macias Nguema,Francisco Macias Nguema.Equatorial Guinea.1968.1978.Civilian Dict,Non-democracy,Civilian Dict,1968,11,1
Equatorial Guinea,411,411.0,Middle Africa,Africa,Teodoro Obiang Nguema Mbasogo,Teodoro Obiang Nguema Mbasogo.Equatorial Guinea.1979.2008.Military Dict,Non-democracy,Military Dict,1979,30,0
Eritrea,531,531.0,Eastern Africa,Africa,Isaias Afwerki,Isaias Afwerki.Eritrea.1993.2008.Civilian Dict,Non-democracy,Civilian Dict,1993,16,0
Estonia,366,366.0,Northern Europe,Europe,Edgar Savisaar,Edgar Savisaar.Estonia.1991.1991.Parliamentary Dem,Democracy,Parliamentary Dem,1991,1,1
Estonia,366,366.0,Northern Europe,Europe,Mart Laar,Mart Laar.Estonia.1992.1993.Parliamentary Dem,Democracy,Parliamentary Dem,1992,2,1
Estonia,366,366.0,Northern Europe,Europe,Andres Tarand,Andres Tarand.Estonia.1994.1994.Parliamentary Dem,Democracy,Parliamentary Dem,1994,1,1
Estonia,366,366.0,Northern Europe,Europe,Tiit Vahi,Tiit Vahi.Estonia.1995.1996.Parliamentary Dem,Democracy,Parliamentary Dem,1995,2,1
Estonia,366,366.0,Northern Europe,Europe,Mart Siimann,Mart Siimann.Estonia.1997.1998.Parliamentary Dem,Democracy,Parliamentary Dem,1997,2,1
Estonia,366,366.0,Northern Europe,Europe,Mart Laar,Mart Laar.Estonia.1999.2001.Parliamentary Dem,Democracy,Parliamentary Dem,1999,3,1
Estonia,366,366.0,Northern Europe,Europe,Siim Kallas,Siim Kallas.Estonia.2002.2002.Parliamentary Dem,Democracy,Parliamentary Dem,2002,1,1
Estonia,366,366.0,Northern Europe,Europe,Juhan Parts,Juhan Parts.Estonia.2003.2004.Parliamentary Dem,Democracy,Parliamentary Dem,2003,2,1
Estonia,366,366.0,Northern Europe,Europe,Andrus Ansip,Andrus Ansip.Estonia.2005.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2005,4,0
Ethiopia,530,530.0,Eastern Africa,Africa,Haile Selassie,Haile Selassie.Ethiopia.1946.1973.Monarchy,Non-democracy,Monarchy,1946,28,1
Ethiopia,530,530.0,Eastern Africa,Africa,Teferi Benti,Teferi Benti.Ethiopia.1974.1976.Military Dict,Non-democracy,Military Dict,1974,3,1
Ethiopia,530,530.0,Eastern Africa,Africa,Mengistu Haile Mariam,Mengistu Haile Mariam.Ethiopia.1977.1990.Military Dict,Non-democracy,Military Dict,1977,14,1
Ethiopia,530,530.0,Eastern Africa,Africa,Meles Zenawi,Meles Zenawi.Ethiopia.1991.1994.Civilian Dict,Non-democracy,Civilian Dict,1991,4,0
Ethiopia,530,529.0,Eastern Africa,Africa,Meles Zenawi,Meles Zenawi.Ethiopia.1991.1994.Civilian Dict,Non-democracy,Civilian Dict,1991,4,0
Ethiopia,530,529.0,Eastern Africa,Africa,Negasso Gidada,Negasso Gidada.Ethiopia.1995.2000.Civilian Dict,Non-democracy,Civilian Dict,1995,6,1
Ethiopia,530,529.0,Eastern Africa,Africa,Girma Wolde-Giyorgis Lucha,Girma Wolde-Giyorgis Lucha.Ethiopia.2001.2008.Civilian Dict,Non-democracy,Civilian Dict,2001,8,0
Fiji,950,950.0,Melanesia,Oceania,Ratu Sir Kamisese Mara,Ratu Sir Kamisese Mara.Fiji.1970.1986.Civilian Dict,Non-democracy,Civilian Dict,1970,17,1
Fiji,950,950.0,Melanesia,Oceania,Sitiveni Rabuka,Sitiveni Rabuka.Fiji.1987.1991.Military Dict,Non-democracy,Military Dict,1987,5,1
Fiji,950,950.0,Melanesia,Oceania,Sitiveni Rabuka,Sitiveni Rabuka.Fiji.1992.1998.Parliamentary Dem,Democracy,Parliamentary Dem,1992,7,1
Fiji,950,950.0,Melanesia,Oceania,Mahendra Chaudhry,Mahendra Chaudhry.Fiji.1999.1999.Parliamentary Dem,Democracy,Parliamentary Dem,1999,1,1
Fiji,950,950.0,Melanesia,Oceania,Ratu Josefa Iloilo,Ratu Josefa Iloilo.Fiji.2000.2000.Military Dict,Non-democracy,Military Dict,2000,1,1
Fiji,950,950.0,Melanesia,Oceania,Ratu Josefa Iloilo,Ratu Josefa Iloilo.Fiji.2001.2005.Civilian Dict,Non-democracy,Civilian Dict,2001,5,1
Fiji,950,950.0,Melanesia,Oceania,Voreqe Bainimarama,Voreqe Bainimarama.Fiji.2006.2008.Military Dict,Non-democracy,Military Dict,2006,3,0
Finland,375,375.0,Northern Europe,Europe,Mauno Pekkala,Mauno Pekkala.Finland.1946.1947.Mixed Dem,Democracy,Mixed Dem,1946,2,1
Finland,375,375.0,Northern Europe,Europe,Karl Fagerholm,Karl Fagerholm.Finland.1948.1949.Mixed Dem,Democracy,Mixed Dem,1948,2,1
Finland,375,375.0,Northern Europe,Europe,Urho Kekkonen,Urho Kekkonen.Finland.1950.1952.Mixed Dem,Democracy,Mixed Dem,1950,3,1
Finland,375,375.0,Northern Europe,Europe,Sakari Tuomioja,Sakari Tuomioja.Finland.1953.1953.Mixed Dem,Democracy,Mixed Dem,1953,1,1
Finland,375,375.0,Northern Europe,Europe,Urho Kekkonen,Urho Kekkonen.Finland.1954.1955.Mixed Dem,Democracy,Mixed Dem,1954,2,1
Finland,375,375.0,Northern Europe,Europe,Karl Fagerholm,Karl Fagerholm.Finland.1956.1956.Mixed Dem,Democracy,Mixed Dem,1956,1,1
Finland,375,375.0,Northern Europe,Europe,Rainer von Fieandt,Rainer von Fieandt.Finland.1957.1957.Mixed Dem,Democracy,Mixed Dem,1957,1,1
Finland,375,375.0,Northern Europe,Europe,Karl Fagerholm,Karl Fagerholm.Finland.1958.1958.Mixed Dem,Democracy,Mixed Dem,1958,1,1
Finland,375,375.0,Northern Europe,Europe,Vaino Sukselainen,Vaino Sukselainen.Finland.1959.1960.Mixed Dem,Democracy,Mixed Dem,1959,2,1
Finland,375,375.0,Northern Europe,Europe,Martti Miettunen,Martti Miettunen.Finland.1961.1961.Mixed Dem,Democracy,Mixed Dem,1961,1,1
Finland,375,375.0,Northern Europe,Europe,Ahti Karjalainen,Ahti Karjalainen.Finland.1962.1962.Mixed Dem,Democracy,Mixed Dem,1962,1,1
Finland,375,375.0,Northern Europe,Europe,Reino Lehto,Reino Lehto.Finland.1963.1963.Mixed Dem,Democracy,Mixed Dem,1963,1,1
Finland,375,375.0,Northern Europe,Europe,Johannes Virolainen,Johannes Virolainen.Finland.1964.1965.Mixed Dem,Democracy,Mixed Dem,1964,2,1
Finland,375,375.0,Northern Europe,Europe,Rafael Paasio,Rafael Paasio.Finland.1966.1967.Mixed Dem,Democracy,Mixed Dem,1966,2,1
Finland,375,375.0,Northern Europe,Europe,Mauno Koivisto,Mauno Koivisto.Finland.1968.1969.Mixed Dem,Democracy,Mixed Dem,1968,2,1
Finland,375,375.0,Northern Europe,Europe,Ahti Karjalainen,Ahti Karjalainen.Finland.1970.1970.Mixed Dem,Democracy,Mixed Dem,1970,1,1
Finland,375,375.0,Northern Europe,Europe,Teuvo Aura,Teuvo Aura.Finland.1971.1971.Mixed Dem,Democracy,Mixed Dem,1971,1,1
Finland,375,375.0,Northern Europe,Europe,Kalevi Sorsa,Kalevi Sorsa.Finland.1972.1974.Mixed Dem,Democracy,Mixed Dem,1972,3,1
Finland,375,375.0,Northern Europe,Europe,Martti Miettunen,Martti Miettunen.Finland.1975.1976.Mixed Dem,Democracy,Mixed Dem,1975,2,1
Finland,375,375.0,Northern Europe,Europe,Kalevi Sorsa,Kalevi Sorsa.Finland.1977.1978.Mixed Dem,Democracy,Mixed Dem,1977,2,1
Finland,375,375.0,Northern Europe,Europe,Mauno Koivisto,Mauno Koivisto.Finland.1979.1981.Mixed Dem,Democracy,Mixed Dem,1979,3,1
Finland,375,375.0,Northern Europe,Europe,Kalevi Sorsa,Kalevi Sorsa.Finland.1982.1986.Mixed Dem,Democracy,Mixed Dem,1982,5,1
Finland,375,375.0,Northern Europe,Europe,Harri Holkeri,Harri Holkeri.Finland.1987.1990.Mixed Dem,Democracy,Mixed Dem,1987,4,1
Finland,375,375.0,Northern Europe,Europe,Esko Aho,Esko Aho.Finland.1991.1994.Mixed Dem,Democracy,Mixed Dem,1991,4,1
Finland,375,375.0,Northern Europe,Europe,Paavo Lipponen,Paavo Lipponen.Finland.1995.2002.Mixed Dem,Democracy,Mixed Dem,1995,8,1
Finland,375,375.0,Northern Europe,Europe,Matti Taneli Vanhanen,Matti Taneli Vanhanen.Finland.2003.2008.Mixed Dem,Democracy,Mixed Dem,2003,6,0
France,220,220.0,Western Europe,Europe,Leon Blum,Leon Blum.France.1946.1946.Parliamentary Dem,Democracy,Parliamentary Dem,1946,1,1
France,220,220.0,Western Europe,Europe,Robert Schuman,Robert Schuman.France.1947.1947.Parliamentary Dem,Democracy,Parliamentary Dem,1947,1,1
France,220,220.0,Western Europe,Europe,Henri Queuille,Henri Queuille.France.1948.1948.Parliamentary Dem,Democracy,Parliamentary Dem,1948,1,1
France,220,220.0,Western Europe,Europe,Georges Bidault,Georges Bidault.France.1949.1949.Parliamentary Dem,Democracy,Parliamentary Dem,1949,1,1
France,220,220.0,Western Europe,Europe,Rene Pleven,Rene Pleven.France.1950.1951.Parliamentary Dem,Democracy,Parliamentary Dem,1950,2,1
France,220,220.0,Western Europe,Europe,Antoine Pinay,Antoine Pinay.France.1952.1952.Parliamentary Dem,Democracy,Parliamentary Dem,1952,1,1
France,220,220.0,Western Europe,Europe,Joseph Laniel,Joseph Laniel.France.1953.1953.Parliamentary Dem,Democracy,Parliamentary Dem,1953,1,1
France,220,220.0,Western Europe,Europe,Pierre Mendes-France,Pierre Mendes-France.France.1954.1954.Parliamentary Dem,Democracy,Parliamentary Dem,1954,1,1
France,220,220.0,Western Europe,Europe,Edgar Faure,Edgar Faure.France.1955.1955.Parliamentary Dem,Democracy,Parliamentary Dem,1955,1,1
France,220,220.0,Western Europe,Europe,Guy Mollet,Guy Mollet.France.1956.1956.Parliamentary Dem,Democracy,Parliamentary Dem,1956,1,1
France,220,220.0,Western Europe,Europe,Felix Gaillard,Felix Gaillard.France.1957.1957.Parliamentary Dem,Democracy,Parliamentary Dem,1957,1,1
France,220,220.0,Western Europe,Europe,Charles de Gaulle,Charles de Gaulle.France.1958.1958.Parliamentary Dem,Democracy,Parliamentary Dem,1958,1,1
France,220,220.0,Western Europe,Europe,Michel Debre,Michel Debre.France.1959.1961.Parliamentary Dem,Democracy,Parliamentary Dem,1959,3,1
France,220,220.0,Western Europe,Europe,Georges Pompidou,Georges Pompidou.France.1962.1964.Parliamentary Dem,Democracy,Parliamentary Dem,1962,3,1
France,220,220.0,Western Europe,Europe,Georges Pompidou,Georges Pompidou.France.1965.1967.Mixed Dem,Democracy,Mixed Dem,1965,3,1
France,220,220.0,Western Europe,Europe,Maurice Couve de Murville,Maurice Couve de Murville.France.1968.1968.Mixed Dem,Democracy,Mixed Dem,1968,1,1
France,220,220.0,Western Europe,Europe,Jacques Chaban-Delmas,Jacques Chaban-Delmas.France.1969.1971.Mixed Dem,Democracy,Mixed Dem,1969,3,1
France,220,220.0,Western Europe,Europe,Pierre Messmer,Pierre Messmer.France.1972.1973.Mixed Dem,Democracy,Mixed Dem,1972,2,1
France,220,220.0,Western Europe,Europe,Jacques Chirac,Jacques Chirac.France.1974.1975.Mixed Dem,Democracy,Mixed Dem,1974,2,1
France,220,220.0,Western Europe,Europe,Raymond Barre,Raymond Barre.France.1976.1980.Mixed Dem,Democracy,Mixed Dem,1976,5,1
France,220,220.0,Western Europe,Europe,Pierre Mauroy,Pierre Mauroy.France.1981.1983.Mixed Dem,Democracy,Mixed Dem,1981,3,1
France,220,220.0,Western Europe,Europe,Laurent Fabius,Laurent Fabius.France.1984.1985.Mixed Dem,Democracy,Mixed Dem,1984,2,1
France,220,220.0,Western Europe,Europe,Jacques Chirac,Jacques Chirac.France.1986.1987.Mixed Dem,Democracy,Mixed Dem,1986,2,1
France,220,220.0,Western Europe,Europe,Michel Rocard,Michel Rocard.France.1988.1990.Mixed Dem,Democracy,Mixed Dem,1988,3,1
France,220,220.0,Western Europe,Europe,Edith Cresson,Edith Cresson.France.1991.1991.Mixed Dem,Democracy,Mixed Dem,1991,1,1
France,220,220.0,Western Europe,Europe,Pierre Beregovoy,Pierre Beregovoy.France.1992.1992.Mixed Dem,Democracy,Mixed Dem,1992,1,1
France,220,220.0,Western Europe,Europe,Edouard Balladur,Edouard Balladur.France.1993.1994.Mixed Dem,Democracy,Mixed Dem,1993,2,1
France,220,220.0,Western Europe,Europe,Alain Juppe,Alain Juppe.France.1995.1996.Mixed Dem,Democracy,Mixed Dem,1995,2,1
France,220,220.0,Western Europe,Europe,Lionel Jospin,Lionel Jospin.France.1997.2001.Mixed Dem,Democracy,Mixed Dem,1997,5,1
France,220,220.0,Western Europe,Europe,Jean-Pierre Raffarin,Jean-Pierre Raffarin.France.2002.2004.Mixed Dem,Democracy,Mixed Dem,2002,3,1
France,220,220.0,Western Europe,Europe,Dominique de Villepin,Dominique de Villepin.France.2005.2006.Mixed Dem,Democracy,Mixed Dem,2005,2,1
France,220,220.0,Western Europe,Europe,Franï¿½ois Fillon,Franï¿½ois Fillon.France.2007.2008.Mixed Dem,Democracy,Mixed Dem,2007,2,0
Gabon,481,481.0,Middle Africa,Africa,Leon Mba,Leon Mba.Gabon.1960.1966.Civilian Dict,Non-democracy,Civilian Dict,1960,7,0
Gabon,481,481.0,Middle Africa,Africa,Albert-Bernard Bongo,Albert-Bernard Bongo.Gabon.1967.2008.Civilian Dict,Non-democracy,Civilian Dict,1967,42,0
Gambia,420,420.0,Western Africa,Africa,Dauda Jawara,Dauda Jawara.Gambia.1965.1993.Civilian Dict,Non-democracy,Civilian Dict,1965,29,1
Gambia,420,420.0,Western Africa,Africa,Yahya Jammeh,Yahya Jammeh.Gambia.1994.2008.Military Dict,Non-democracy,Military Dict,1994,15,0
Georgia,372,372.0,Western Asia,Asia,Zviad Gamsakhurdia,Zviad Gamsakhurdia.Georgia.1991.1991.Civilian Dict,Non-democracy,Civilian Dict,1991,1,1
Georgia,372,372.0,Western Asia,Asia,Eduard Shevardnadze,Eduard Shevardnadze.Georgia.1992.2002.Civilian Dict,Non-democracy,Civilian Dict,1992,11,1
Georgia,372,372.0,Western Asia,Asia,Nino Burdzhanadze,Nino Burdzhanadze.Georgia.2003.2003.Civilian Dict,Non-democracy,Civilian Dict,2003,1,1
Georgia,372,372.0,Western Asia,Asia,Zurab Zhvania,Zurab Zhvania.Georgia.2004.2004.Mixed Dem,Democracy,Mixed Dem,2004,1,1
Georgia,372,372.0,Western Asia,Asia,Zurab Nogaideli,Zurab Nogaideli.Georgia.2005.2006.Mixed Dem,Democracy,Mixed Dem,2005,2,1
Georgia,372,372.0,Western Asia,Asia,Lado Gurgenidze,Lado Gurgenidze.Georgia.2007.2007.Mixed Dem,Democracy,Mixed Dem,2007,1,1
Georgia,372,372.0,Western Asia,Asia,Grigol Mgaloblishvili,Grigol Mgaloblishvili.Georgia.2008.2008.Mixed Dem,Democracy,Mixed Dem,2008,1,0
Germany,255,255.0,Western Europe,Europe,Helmut Kohl,Helmut Kohl.Germany.1990.1997.Parliamentary Dem,Democracy,Parliamentary Dem,1990,8,1
Germany,255,255.0,Western Europe,Europe,Gerhard Schroeder,Gerhard Schroeder.Germany.1998.2004.Parliamentary Dem,Democracy,Parliamentary Dem,1998,7,1
Germany,255,255.0,Western Europe,Europe,Angela Merkel,Angela Merkel.Germany.2005.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2005,4,0
"Germany, East",265,265.0,Western Europe,Europe,Wilhelm Pieck + Otto Grotewohl,"Wilhelm Pieck + Otto Grotewohl.Germany, East.1949.1949.Civilian Dict",Non-democracy,Civilian Dict,1949,1,1
"Germany, East",265,265.0,Western Europe,Europe,Walter Ulbricht,"Walter Ulbricht.Germany, East.1950.1970.Civilian Dict",Non-democracy,Civilian Dict,1950,21,1
"Germany, East",265,265.0,Western Europe,Europe,Erich Honecker,"Erich Honecker.Germany, East.1971.1988.Civilian Dict",Non-democracy,Civilian Dict,1971,18,1
"Germany, East",265,265.0,Western Europe,Europe,Egon Krenz,"Egon Krenz.Germany, East.1989.1989.Civilian Dict",Non-democracy,Civilian Dict,1989,1,0
"Germany, West",260,260.0,Western Europe,Europe,Konrad Adenauer,"Konrad Adenauer.Germany, West.1949.1962.Parliamentary Dem",Democracy,Parliamentary Dem,1949,14,1
"Germany, West",260,260.0,Western Europe,Europe,Ludwig Erhard,"Ludwig Erhard.Germany, West.1963.1965.Parliamentary Dem",Democracy,Parliamentary Dem,1963,3,1
"Germany, West",260,260.0,Western Europe,Europe,Kurt-Georg Kiesinger,"Kurt-Georg Kiesinger.Germany, West.1966.1968.Parliamentary Dem",Democracy,Parliamentary Dem,1966,3,1
"Germany, West",260,260.0,Western Europe,Europe,Willy Brandt,"Willy Brandt.Germany, West.1969.1973.Parliamentary Dem",Democracy,Parliamentary Dem,1969,5,1
"Germany, West",260,260.0,Western Europe,Europe,Helmut Schmidt,"Helmut Schmidt.Germany, West.1974.1981.Parliamentary Dem",Democracy,Parliamentary Dem,1974,8,1
"Germany, West",260,260.0,Western Europe,Europe,Helmut Kohl,"Helmut Kohl.Germany, West.1982.1989.Parliamentary Dem",Democracy,Parliamentary Dem,1982,8,0
Ghana,452,452.0,Western Africa,Africa,Kwame Nkrumah,Kwame Nkrumah.Ghana.1957.1965.Civilian Dict,Non-democracy,Civilian Dict,1957,9,1
Ghana,452,452.0,Western Africa,Africa,Joseph Ankrah,Joseph Ankrah.Ghana.1966.1968.Military Dict,Non-democracy,Military Dict,1966,3,1
Ghana,452,452.0,Western Africa,Africa,Kofi Busia,Kofi Busia.Ghana.1969.1971.Parliamentary Dem,Democracy,Parliamentary Dem,1969,3,1
Ghana,452,452.0,Western Africa,Africa,Ignatius Acheampong,Ignatius Acheampong.Ghana.1972.1977.Military Dict,Non-democracy,Military Dict,1972,6,1
Ghana,452,452.0,Western Africa,Africa,Frederick Akuffo,Frederick Akuffo.Ghana.1978.1978.Military Dict,Non-democracy,Military Dict,1978,1,1
Ghana,452,452.0,Western Africa,Africa,Hilla Limann,Hilla Limann.Ghana.1979.1980.Presidential Dem,Democracy,Presidential Dem,1979,2,1
Ghana,452,452.0,Western Africa,Africa,Jerry Rawlings,Jerry Rawlings.Ghana.1981.1992.Military Dict,Non-democracy,Military Dict,1981,12,1
Ghana,452,452.0,Western Africa,Africa,Jerry Rawlings,Jerry Rawlings.Ghana.1993.2000.Presidential Dem,Democracy,Presidential Dem,1993,8,1
Ghana,452,452.0,Western Africa,Africa,John Agyekum Kufuor,John Agyekum Kufuor.Ghana.2001.2008.Presidential Dem,Democracy,Presidential Dem,2001,8,0
Greece,350,350.0,Southern Europe,Europe,Constantine Tsaldaris,Constantine Tsaldaris.Greece.1946.1946.Parliamentary Dem,Democracy,Parliamentary Dem,1946,1,1
Greece,350,350.0,Southern Europe,Europe,Themistocles Sophoulis,Themistocles Sophoulis.Greece.1947.1948.Parliamentary Dem,Democracy,Parliamentary Dem,1947,2,1
Greece,350,350.0,Southern Europe,Europe,Alexandros Diomidis,Alexandros Diomidis.Greece.1949.1949.Parliamentary Dem,Democracy,Parliamentary Dem,1949,1,1
Greece,350,350.0,Southern Europe,Europe,Nikolas Plastiras,Nikolas Plastiras.Greece.1950.1951.Parliamentary Dem,Democracy,Parliamentary Dem,1950,2,1
Greece,350,350.0,Southern Europe,Europe,Alexandros Papagos,Alexandros Papagos.Greece.1952.1954.Parliamentary Dem,Democracy,Parliamentary Dem,1952,3,0
Greece,350,350.0,Southern Europe,Europe,Konstantinos Karamanlis,Konstantinos Karamanlis.Greece.1955.1962.Parliamentary Dem,Democracy,Parliamentary Dem,1955,8,1
Greece,350,350.0,Southern Europe,Europe,Ioannis Paraskevopoulos,Ioannis Paraskevopoulos.Greece.1963.1963.Parliamentary Dem,Democracy,Parliamentary Dem,1963,1,1
Greece,350,350.0,Southern Europe,Europe,Georgios Papandreou,Georgios Papandreou.Greece.1964.1964.Parliamentary Dem,Democracy,Parliamentary Dem,1964,1,1
Greece,350,350.0,Southern Europe,Europe,Stephanos Stephanopoulos,Stephanos Stephanopoulos.Greece.1965.1965.Parliamentary Dem,Democracy,Parliamentary Dem,1965,1,1
Greece,350,350.0,Southern Europe,Europe,Ioannis Paraskevopoulos,Ioannis Paraskevopoulos.Greece.1966.1966.Parliamentary Dem,Democracy,Parliamentary Dem,1966,1,1
Greece,350,350.0,Southern Europe,Europe,Georgios Papadopoulos,Georgios Papadopoulos.Greece.1967.1972.Military Dict,Non-democracy,Military Dict,1967,6,1
Greece,350,350.0,Southern Europe,Europe,Phaidon Gizikis,Phaidon Gizikis.Greece.1973.1973.Military Dict,Non-democracy,Military Dict,1973,1,1
Greece,350,350.0,Southern Europe,Europe,Konstantinos Karamanlis,Konstantinos Karamanlis.Greece.1974.1979.Parliamentary Dem,Democracy,Parliamentary Dem,1974,6,1
Greece,350,350.0,Southern Europe,Europe,Georgios Rallis,Georgios Rallis.Greece.1980.1980.Parliamentary Dem,Democracy,Parliamentary Dem,1980,1,1
Greece,350,350.0,Southern Europe,Europe,Andreas Papandreou,Andreas Papandreou.Greece.1981.1988.Parliamentary Dem,Democracy,Parliamentary Dem,1981,8,1
Greece,350,350.0,Southern Europe,Europe,Xenophon Zolotas,Xenophon Zolotas.Greece.1989.1989.Parliamentary Dem,Democracy,Parliamentary Dem,1989,1,1
Greece,350,350.0,Southern Europe,Europe,Konstantinos Mitsotakis,Konstantinos Mitsotakis.Greece.1990.1992.Parliamentary Dem,Democracy,Parliamentary Dem,1990,3,1
Greece,350,350.0,Southern Europe,Europe,Andreas Papandreou,Andreas Papandreou.Greece.1993.1995.Parliamentary Dem,Democracy,Parliamentary Dem,1993,3,0
Greece,350,350.0,Southern Europe,Europe,Kostas Simitis,Kostas Simitis.Greece.1996.2003.Parliamentary Dem,Democracy,Parliamentary Dem,1996,8,1
Greece,350,350.0,Southern Europe,Europe,Konstantinos A. (Kostas) Karamanlis,Konstantinos A. (Kostas) Karamanlis.Greece.2004.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2004,5,0
Grenada,55,55.0,Caribbean,Americas,Eric Gairy,Eric Gairy.Grenada.1974.1978.Parliamentary Dem,Democracy,Parliamentary Dem,1974,5,1
Grenada,55,55.0,Caribbean,Americas,Maurice Bishop,Maurice Bishop.Grenada.1979.1982.Civilian Dict,Non-democracy,Civilian Dict,1979,4,0
Grenada,55,55.0,Caribbean,Americas,Nicholas Brathwaite,Nicholas Brathwaite.Grenada.1983.1983.Civilian Dict,Non-democracy,Civilian Dict,1983,1,1
Grenada,55,55.0,Caribbean,Americas,Herbert Blaize,Herbert Blaize.Grenada.1984.1988.Parliamentary Dem,Democracy,Parliamentary Dem,1984,5,0
Grenada,55,55.0,Caribbean,Americas,Ben Jones,Ben Jones.Grenada.1989.1989.Parliamentary Dem,Democracy,Parliamentary Dem,1989,1,1
